[WAR][HORA: 01:01:05][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'D')]
[WAR][HORA: 01:01:05][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'D')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'D')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'D')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'D')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'D')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'E')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'E')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'E')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'E')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'E')]
[WAR][HORA: 01:01:06][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'E')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'E')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'E')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'E')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'E')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'F')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'F')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'F')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'F')]
[WAR][HORA: 01:01:07][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'F')]
[WAR][HORA: 01:01:08][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'F')]
